instancia, alpha, numeroiteracionesgrasp, replica, valoroptimo, valorobjetivo, iteracionmejorsolucion, tiempohallarmejorsolucion, tiempototal 
b51.tsp 0.4 16 1 429.98331198338406 435.42085124848 3 4.461209981601087 19.900101277056905
b51.tsp 0.4 4 2 429.98331198338406 440.1076788711104 1 1.3356647684136078 4.733863515959058
b51.tsp 0.4 8 2 429.98331198338406 440.3508954373954 1 1.295601013676162 10.68108533988186
b51.tsp 0.4 16 2 429.98331198338406 435.9430135325845 6 6.131485391803324 18.12339409453631
b51.tsp 0.4 4 3 429.98331198338406 438.97714483353866 1 1.6395025802254395 4.754781529841978
b51.tsp 0.4 8 3 429.98331198338406 433.11055469513207 3 3.7436585619865923 9.379471095286476
b51.tsp 0.4 16 3 429.98331198338406 437.7116165305527 6 7.405623518011794 19.94295128286791
b51.tsp 0.4 4 4 429.98331198338406 438.6818939528048 1 1.0761319710990733 4.263787037442341
b51.tsp 0.4 8 4 429.98331198338406 437.4929732061287 5 4.652747385436953 8.268281263442589
b51.tsp 0.4 16 4 429.98331198338406 430.6916825056662 1 1.347324459390336 19.55428163474153
b51.tsp 0.5 4 1 429.98331198338406 443.09984735943647 1 1.1421957047056708 5.227402160476572
b51.tsp 0.5 8 1 429.98331198338406 433.7955708894945 6 7.503077101876215 10.93304182848101
b51.tsp 0.5 16 1 429.98331198338406 441.58284785469266 4 5.956108847932001 21.310972184278967
b51.tsp 0.5 4 2 429.98331198338406 446.7572738494249 3 3.632879875750689 4.8433972943479375
b51.tsp 0.5 8 2 429.98331198338406 444.1475507378015 5 7.196569258564409 10.562843243944883
b51.tsp 0.5 16 2 429.98331198338406 437.1934872709804 9 11.357540310834565 19.908544553603633
b51.tsp 0.5 4 3 429.98331198338406 443.5005282715926 3 4.888942084918767 5.924251402558923
b51.tsp 0.5 8 3 429.98331198338406 438.1639776771614 8 9.733434861947728 9.733545044140783
b51.tsp 0.5 16 3 429.98331198338406 437.5711202662902 3 3.884121236636645 19.11869399386302
b51.tsp 0.5 4 4 429.98331198338406 450.5449783805749 1 1.100059619131855 5.040983247778627
b51.tsp 0.5 8 4 429.98331198338406 445.7007574217463 4 4.608392260682024 9.076466743844549
b51.tsp 0.5 16 4 429.98331198338406 440.15140613402485 14 18.14604845903409 20.574941248741595
j101.tsp 0.2 4 1 642.3095357906022 677.9295040116685 3 74.8666116258828 107.41645789908216
j101.tsp 0.2 8 1 642.3095357906022 674.1977567412639 3 69.612411646709 180.4699068281261
j101.tsp 0.2 16 1 642.3095357906022 656.3818076347283 12 307.08888623914936 399.15058102240073
j101.tsp 0.2 4 2 642.3095357906022 666.6097776999097 4 144.93000774293978 144.9304988838394
